Computer name,User  Account ,Adobe CC software ,Operating System ,Last Logon Time Stam
12741-J59VT6,cheeverd,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 12:13
12741-J59VT6,johnd,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 12:13
13628-T9QQ32,Lauerj,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/27/2018 17:20
14124-M52M32,bradyj2,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14124-M52M32,bradyj2,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14124-M52M32,bradyj2,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14283-T6TDC2,medinady,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:10
14283-T6TDC2,medinady,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:10
14347-FFPB42,mcgillk,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:48
15480-XLFCH2,frashure,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:10
15485-X3GCH2,bertia,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/23/2018 4:43
15495-XKDCH2,tagall,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 20:31
15511-RJXVF2,callessm,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:46
15710-85FKH2,bystromk,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15710-85FKH2,bystromk,Scout CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15710-85FKH2,bystromk,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15760-83GKH2,teegardj,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:30
15760-83GKH2,teegardj,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:30
15766-86JHH2,carsont,Audition CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,After Effects CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Bridge CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,InCopy CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Fuse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16

